CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V94781,165,0.005,0.027999999999999997,4.6,0.648,0.07400000000000001,0.046,286,46,1488.0,8,4,0.006
V94778,163,0.005,0.037000000000000005,4.56,0.7090000000000001,0.059000000000000004,0.043,327,47,1388.3496882179193,9,4,0.006999999999999999
V94777,169,0.005,0.034,4.54,0.474,0.057,0.045,322,46,1513.0,8,5,0.012
V94775,160,0.005,0.036000000000000004,4.57,0.607,0.07,0.044000000000000004,323,46,1447.0,9,4,0.009000000000000001
V94773,157,0.005,0.027000000000000003,4.58,0.653,0.07200000000000001,0.047,298,42,1396.0,8,4,0.005
V94772,176,0.005,0.03,4.62,0.703,0.07200000000000001,0.046,326,45,1403.0,8,4,0.006999999999999999
V94770,165,0.005,0.036000000000000004,4.55,0.52,0.061,0.045,322,45,1373.0,8,4,0.006999999999999999
V94769,165,0.005,0.040999999999999995,4.58,0.54,0.06,0.046,356,50,1399.0,9,5,0.006
V94768,159,0.005,0.035,4.64,0.5329999999999999,0.06,0.046,327,47,1438.0,10,0,0.006
V94767,162,0.005,0.028999999999999998,4.62,0.62,0.073,0.048,292,41,1358.0,8,4,0.006999999999999999
V94766,160,0.005,0.031,4.6,0.583,0.071,0.047,302,41,1366.0,8,4,0.008
V94764,163,0.005,0.039,4.64,0.504,0.055999999999999994,0.044000000000000004,339,47,1384.0,8,5,0.01
V94762,165,0.005,0.031,4.57,0.78,0.084,0.045,311,44,1388.3496882179193,8,4,0.006999999999999999
V94761,173,0.005,0.033,4.63,0.597,0.071,0.045,310,44,1359.0,8,4,0.005
V94759,170,0.005,0.035,4.62,0.86,0.094,0.040999999999999995,365,51,1421.0,9,5,0.005
V94757,169,0.005,0.03,4.63,0.98,0.10400000000000001,0.042,302,42,1369.0,8,5,0.006
V94754,166,0.005,0.035,4.62,0.6990000000000001,0.07,0.045,329,46,1433.0,9,4,0.004
V94755,164,0.005,0.036000000000000004,4.59,0.584,0.068,0.047,331,46,1548.0,8,6,0.006999999999999999
V94753,174,0.003,0.033,4.64,0.63,0.07,0.046,346,49,1407.0,9,6,0.006999999999999999
V94752,163,0.003,0.031,4.67,0.58,0.068,0.045,411,46,1429.0,10,4,0.005
V94751,165,0.003,0.028999999999999998,4.58,0.6609999999999999,0.069,0.044000000000000004,320,45,1360.0,9,4,0.006
V94750,180,0.003,0.049,4.58,0.61,0.057,0.039,420,60,1388.3496882179193,11,7,0.006999999999999999
V94749,164,0.003,0.038,4.6,0.521,0.064,0.043,362,52,1404.0,10,5,0.005
V94747,161,0.003,0.037000000000000005,4.72,0.58,0.071,0.042,369,51,1389.0,9,6,0.006999999999999999
V94746,165,0.003,0.034,4.62,0.62,0.071,0.040999999999999995,343,49,1387.0,10,5,0.005
V94745,160,0.003,0.043,4.57,0.64,0.057,0.040999999999999995,388,55,1413.0,10,5,0.006999999999999999
V94744,165,0.003,0.040999999999999995,4.61,0.47,0.05,0.044000000000000004,380,54,1380.0,9,6,0.009000000000000001
V94742,160,0.003,0.036000000000000004,4.57,0.5589999999999999,0.06,0.045,354,51,1388.3496882179193,9,6,0.005
V94741,162,0.003,0.036000000000000004,4.54,0.57,0.057999999999999996,0.042,349,49,1350.0,9,5,0.006999999999999999
V94740,171,0.003,0.039,4.53,0.518,0.055,0.040999999999999995,380,56,1388.3496882179193,10,5,0.009000000000000001
V94739,165,0.003,0.035,4.51,0.5760000000000001,0.057999999999999996,0.042,356,49,1409.0,9,6,0.008
V94737,161,0.003,0.040999999999999995,4.54,0.53,0.063,0.042,383,55,1386.0,10,5,0.006
V94736,164,0.003,0.045,4.53,0.547,0.066,0.04,404,57,1377.0,10,7,0.011000000000000001
V94735,159,0.003,0.052000000000000005,4.5,0.5920000000000001,0.068,0.039,431,62,1370.0,11,6,0.006999999999999999
V94734,154,0.003,0.04,4.56,0.6559999999999999,0.071,0.043,324,47,1381.0,9,4,0.009000000000000001
V94733,169,0.003,0.03,4.57,0.64,0.063,0.045,330,46,1359.0,8,6,0.006
V94732,160,0.003,0.031,4.53,0.713,0.069,0.05,329,46,1372.0,9,5,0.006
V94731,156,0.003,0.034,4.58,0.505,0.055999999999999994,0.047,325,47,1379.0,9,4,0.013999999999999999
V94730,161,0.003,0.040999999999999995,4.57,0.36700000000000005,0.042,0.044000000000000004,379,53,1456.0,10,5,0.013999999999999999
V94729,156,0.003,0.043,4.56,0.377,0.042,0.044000000000000004,395,55,1382.0,10,6,0.011000000000000001
V94728,172,0.003,0.042,4.58,0.39399999999999996,0.040999999999999995,0.043,381,54,1348.0,11,6,0.011000000000000001
V94727,163,0.003,0.040999999999999995,4.57,0.455,0.053,0.046,383,54,1388.3496882179193,10,5,0.01
V94725,164,0.003,0.042,4.52,0.763,0.08,0.04,307,42,1418.0,8,5,0.013999999999999999
V94726,173,0.003,0.04,4.6,0.551,0.063,0.045,365,53,1384.0,10,5,0.009000000000000001
V94724,163,0.003,0.037000000000000005,4.59,0.6779999999999999,0.071,0.042,358,51,1383.0,9,5,0.01
V94723,168,0.003,0.037000000000000005,4.57,0.594,0.061,0.05,360,52,1388.3496882179193,10,5,0.005
V94722,166,0.003,0.025,4.54,0.877,0.079,0.052000000000000005,307,43,1388.3496882179193,8,5,0.005
V94720,172,0.003,0.032,4.57,0.8,0.083,0.046,354,50,1388.3496882179193,9,6,0.005
V94718,172,0.003,0.027000000000000003,4.56,0.787,0.073,0.05,302,42,1395.0,8,4,0.009000000000000001
V94717,169,0.003,0.032,4.54,0.66,0.07,0.05,342,47,1365.0,9,6,0.008
V94715,165,0.003,0.037000000000000005,4.59,0.71,0.078,0.046,350,49,1462.0,10,5,0.006
V94713,170,0.003,0.042,4.54,0.46,0.055999999999999994,0.048,382,54,1312.0,10,6,0.006999999999999999
V94710,172,0.003,0.042,4.58,0.514,0.061,0.047,393,55,1379.0,10,7,0.006999999999999999
V94709,170,0.003,0.039,4.55,0.596,0.062,0.047,363,51,1390.0,10,5,0.006999999999999999
V94707,164,0.003,0.04,4.55,0.7090000000000001,0.071,0.051,370,55,1389.0,10,5,0.006
V94706,165,0.003,0.048,4.54,0.449,0.048,0.044000000000000004,407,57,1374.0,11,6,0.009000000000000001
V94705,174,0.003,0.057,4.55,0.5589999999999999,0.046,0.042,461,64,1371.0,12,9,0.01
V94704,176,0.003,0.048,4.53,0.491,0.047,0.043,419,59,1379.0,11,6,0.008
V94703,165,0.003,0.049,4.55,0.586,0.063,0.040999999999999995,416,60,1366.0,12,6,0.006
V94701,176,0.003,0.039,4.56,0.514,0.063,0.055,354,50,1364.0,10,5,0.005
V94699,170,0.003,0.032,4.63,0.87,0.086,0.05,396,56,1451.0,10,8,0.004
V94698,165,0.003,0.036000000000000004,4.55,1.031,0.095,0.045,344,49,1466.0,10,5,0.004
V94697,162,0.003,0.033,4.6,0.642,0.069,0.05,394,54,1385.0,10,8,0.004
V94696,165,0.003,0.038,4.57,0.5,0.062,0.051,374,54,1418.0,10,5,0.005
V94695,173,0.003,0.035,4.58,0.48700000000000004,0.057999999999999996,0.049,360,51,1430.0,11,5,0.004
V94694,163,0.003,0.038,4.59,0.451,0.055,0.051,379,52,1374.0,10,7,0.006
V94692,164,0.003,0.03,4.64,0.687,0.076,0.053,324,45,1399.0,9,5,0.006999999999999999
V94684,158,0.003,0.025,4.55,0.83,0.081,0.053,302,42,1422.0,8,4,0.005
V94682,165,0.003,0.043,4.54,0.7140000000000001,0.071,0.046,394,57,1339.0,10,7,0.008
V94681,162,0.003,0.028999999999999998,4.59,0.647,0.067,0.051,319,44,1384.0,8,4,0.005
V94680,161,0.005,0.059000000000000004,4.59,0.5820000000000001,0.055999999999999994,0.038,430,62,1360.0,12,6,0.011000000000000001
V94679,155,0.005,0.04,4.59,0.49700000000000005,0.057999999999999996,0.047,350,51,1392.0,9,6,0.013000000000000001
V94678,158,0.005,0.036000000000000004,4.52,0.616,0.062,0.05,321,45,1463.0,8,4,0.011000000000000001
V94677,162,0.005,0.04,4.59,0.669,0.064,0.044000000000000004,352,48,1344.0,9,6,0.011000000000000001
V94676,156,0.005,0.044000000000000004,4.58,0.6809999999999999,0.068,0.040999999999999995,363,51,1324.0,10,5,0.011000000000000001
V94675,157,0.005,0.033,4.6,0.537,0.057,0.05,312,43,1514.0,8,4,0.01
V94673,165,0.003,0.03,4.6,0.8,0.077,0.051,326,47,1431.0,9,5,0.008
V94669,167,0.003,0.025,4.6,1.1,0.096,0.045,302,42,1375.0,7,4,0.006
V94667,174,0.003,0.032,4.62,0.7759999999999999,0.07200000000000001,0.047,336,50,1386.0,9,5,0.005
V94668,163,0.003,0.027000000000000003,4.65,0.9,0.08800000000000001,0.044000000000000004,323,44,1390.0,8,6,0.005
V94666,162,0.003,0.035,4.6,0.61,0.06,0.048,358,50,1390.0,9,5,0.009000000000000001
V94665,172,0.003,0.034,4.55,0.629,0.062,0.047,353,50,1364.0,9,7,0.006999999999999999
V94663,162,0.003,0.026000000000000002,4.55,0.86,0.08,0.055,326,41,1415.0,8,4,0.006
V94662,166,0.003,0.028999999999999998,4.52,0.856,0.077,0.052000000000000005,322,44,1388.3496882179193,8,5,0.006
V94660,169,0.003,0.043,4.6,0.521,0.049,0.047,412,52,1327.0,10,7,0.009000000000000001
V94659,166,0.003,0.044000000000000004,4.62,0.602,0.054000000000000006,0.045,383,55,1343.0,11,6,0.006999999999999999
V94658,171,0.003,0.023,4.6,0.77,0.085,0.044000000000000004,298,42,1396.0,7,5,0.004
V94656,170,0.003,0.054000000000000006,4.55,0.39399999999999996,0.042,0.046,456,62,1389.0,11,7,0.009000000000000001
V94655,173,0.003,0.054000000000000006,4.5,0.384,0.040999999999999995,0.045,447,63,1461.0,12,7,0.009000000000000001
V94653,165,0.003,0.04,4.59,0.54,0.049,0.046,372,53,1379.0,10,6,0.009000000000000001
V94651,150,0.003,0.034,4.55,0.624,0.061,0.049,350,49,1369.0,9,5,0.006
V94649,152,0.003,0.036000000000000004,4.54,0.599,0.059000000000000004,0.047,354,49,1440.0,10,6,0.008
V94648,154,0.003,0.031,4.63,0.63,0.062,0.047,331,46,1408.0,9,5,0.006
V94647,165,0.003,0.032,4.58,0.6,0.061,0.048,339,47,1359.0,9,6,0.006
