,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1454,V97863,155,0.005,0.032,4.71,0.64,0.076,0.046,305,44,1431.0,9,4,0.009000000000000001
1455,V97862,160,0.005,0.039,4.62,0.74,0.075,0.044000000000000004,370,52,1322.0,10,4,0.005
1456,V97861,162,0.005,0.038,4.57,0.4,0.059000000000000004,0.043,332,49,1388.3496882179193,10,5,0.008
1457,V97860,171,0.005,0.040999999999999995,4.58,0.7020000000000001,0.077,0.046,352,50,1361.0,8,5,0.005
1458,V97859,170,0.005,0.038,4.56,0.7859999999999999,0.079,0.045,331,46,1378.0,8,4,0.005
1459,V97858,173,0.005,0.026000000000000002,4.49,0.6659999999999999,0.069,0.046,277,40,1335.0,8,4,0.005
1460,V97857,179,0.005,0.028999999999999998,4.52,0.539,0.068,0.046,355,49,1346.0,8,5,0.005
1461,V97856,175,0.005,0.038,4.59,0.456,0.055,0.043,329,46,1380.0,8,4,0.008
1462,V97855,165,0.005,0.04,4.57,0.499,0.055999999999999994,0.044000000000000004,343,48,1400.0,10,5,0.008
1463,V97854,162,0.005,0.04,4.57,0.8109999999999999,0.083,0.046,352,50,1394.0,8,5,0.006
1464,V97853,168,0.005,0.039,4.55,0.732,0.075,0.045,331,46,1388.0,9,4,0.006
1465,V97851,169,0.005,0.038,4.66,0.4,0.055,0.044000000000000004,342,49,1344.0,8,5,0.009000000000000001
1466,V97850,164,0.005,0.034,4.63,0.536,0.07,0.042,315,43,1387.0,8,4,0.004
1467,V97849,166,0.005,0.035,4.57,0.46299999999999997,0.065,0.045,328,45,1386.0,9,5,0.006
1468,V97848,170,0.005,0.043,4.56,0.392,0.054000000000000006,0.043,353,49,1387.0,8,5,0.009000000000000001
1469,V97847,160,0.005,0.039,4.53,0.332,0.051,0.044000000000000004,341,53,1415.0,9,4,0.009000000000000001
1470,V97846,164,0.005,0.043,4.59,0.647,0.071,0.044000000000000004,357,50,1407.0,10,5,0.006999999999999999
1471,V97845,162,0.005,0.04,4.65,0.782,0.08199999999999999,0.045,397,57,1343.0,9,6,0.003
1472,V97844,167,0.005,0.035,4.58,0.489,0.068,0.044000000000000004,320,45,1333.0,8,4,0.005
1473,V97843,157,0.005,0.036000000000000004,4.57,0.473,0.066,0.043,325,47,1334.0,9,5,0.004
1474,V97841,168,0.005,0.047,4.56,0.5720000000000001,0.069,0.042,368,53,1391.0,10,4,0.011000000000000001
1475,V97840,163,0.005,0.047,4.56,0.693,0.07400000000000001,0.044000000000000004,377,53,1386.0,10,6,0.005
1476,V97839,166,0.005,0.034,4.64,0.563,0.071,0.043,318,45,1388.3496882179193,7,4,0.006
1477,V97837,161,0.005,0.032,4.57,0.61,0.07,0.044000000000000004,305,43,1434.0,8,5,0.006
1478,V97836,160,0.005,0.035,4.62,0.63,0.07200000000000001,0.045,329,45,1397.0,8,4,0.006
1479,V97834,160,0.005,0.039,4.55,0.5429999999999999,0.066,0.043,318,59,1381.0,9,5,0.005
1480,V97833,167,0.005,0.042,4.55,0.47200000000000003,0.063,0.040999999999999995,352,57,1375.0,10,6,0.005
1481,V97832,165,0.005,0.044000000000000004,4.5,0.377,0.055,0.042,387,65,1425.0,10,6,0.006
1482,V97831,165,0.005,0.040999999999999995,4.6,0.35,0.051,0.043,326,59,1363.0,8,5,0.006
